"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.594744250E0,2.835022509E-2,1.626081437E-1,-7.009759068E-2
1.604805250E0,6.345398426E-3,1.350119171E-1,-7.346617162E-2
1.614867250E0,-1.214232802E-2,1.297514695E-1,-4.416869760E-2
1.624928250E0,-2.877590239E-2,1.515107131E-1,-3.889275491E-2
1.634990250E0,-5.656771839E-2,1.207052422E-1,-3.623694956E-2
1.645051250E0,-9.257224113E-2,1.324663317E-1,-2.225450277E-2
1.655113250E0,-1.890618244E-1,1.442496407E-1,-5.497961462E-2
1.665174250E0,-1.952660125E-1,1.613843215E-1,-1.199760944E-1
1.675236250E0,-1.710123467E-1,1.061690640E-1,-1.805561721E-1
1.685297250E0,-1.015930331E-1,9.841244012E-2,-1.932481384E-1
1.695358250E0,-6.800019443E-2,6.663428485E-2,-2.210083795E-1
1.705420250E0,-1.363833815E-2,1.252619773E-3,-2.469501364E-1
1.715481250E0,2.622505456E-2,3.071571618E-2,-2.424659067E-1
1.725543250E0,1.336176485E-2,2.188028097E-2,-2.458128530E-1
1.735604250E0,-3.136475712E-2,-1.912595004E-2,-1.897006327E-1
1.745666250E0,-5.460276157E-2,-5.354675442E-2,-7.680902481E-2
1.755727250E0,-7.270486414E-2,-5.303380743E-2,-4.583807766E-2
1.765789250E0,-8.484456092E-2,-3.958009511E-2,-4.297352672E-2
1.775850250E0,-8.442560792E-2,-4.988113493E-2,-6.284002662E-2
1.785912250E0,-1.195860851E-1,-1.404471964E-2,-3.875417590E-2
1.795973250E0,-1.128810829E-1,-5.744597018E-3,-2.158792019E-2
1.806035250E0,-8.375317812E-2,-1.011860669E-3,-3.155449927E-2
1.816096250E0,-5.316668540E-2,-1.138789102E-2,-5.124733686E-2
1.826157250E0,-3.029617846E-2,-6.583672464E-3,-6.006084502E-2
1.836219250E0,-3.127237111E-2,-6.412641406E-3,-6.849311471E-2
1.846280250E0,-2.683813512E-2,3.764729798E-3,-7.574717045E-2
1.856342250E0,-5.325000823E-2,2.740253761E-2,-3.563234746E-2
1.866403250E0,-5.285415173E-2,2.742051780E-3,1.103954315E-3
1.876465250E0,-8.001037538E-2,2.287459999E-2,-3.509381890E-2
1.886526250E0,-5.670045018E-2,3.329521537E-2,-9.539732337E-2
1.896588250E0,-1.474550843E-2,-5.329737067E-3,-1.915682334E-1
1.906649250E0,-1.780769527E-2,-1.526591063E-2,-1.951052141E-1
1.916711250E0,-1.168273687E-2,-5.183410496E-2,-2.073294032E-1
1.926772250E0,2.541989297E-2,-3.565325126E-2,-2.310784543E-1
1.936833250E0,6.131039500E-2,-2.067107677E-2,-2.693964279E-1
1.946895250E0,5.764945328E-2,-2.877122462E-3,-3.408225060E-1
1.956956250E0,1.384065181E-2,1.654381961E-2,-3.437893832E-1
1.967018250E0,4.639180899E-3,3.074582934E-2,-3.441396314E-1
1.977079250E0,-2.594877362E-2,7.699467391E-2,-3.276656860E-1
1.987141250E0,-6.028508574E-2,4.998053759E-2,-3.030600178E-1
1.997202250E0,-8.812894195E-2,4.106528789E-2,-2.941172862E-1
2.007264250E0,-1.309986806E-1,8.583887994E-2,-2.210463864E-1
2.017325250E0,-2.010185033E-1,1.004776767E-1,-1.273207819E-1
2.027387250E0,-1.865595084E-1,1.308349586E-1,-1.581198210E-1
2.037448250E0,-1.640056282E-1,1.345286447E-1,-2.045402813E-1
2.047509250E0,-1.633437234E-1,1.367213506E-1,-2.442873144E-1
2.057571250E0,-1.625218973E-1,1.519806831E-1,-2.145232326E-1
2.067632250E0,-1.763499776E-1,1.463277411E-1,-2.105325079E-1
2.077694250E0,-1.892726165E-1,1.426898959E-1,-1.785499924E-1
2.087755250E0,-2.167200315E-1,1.731449725E-1,-1.261191791E-1
2.097817250E0,-2.377600676E-1,1.817604062E-1,-9.720235884E-2
2.107878250E0,-2.766171545E-1,1.240497033E-1,-4.147313118E-2
2.117940250E0,-2.883612871E-1,1.265299460E-1,-9.647905827E-3
2.128001250E0,-2.264249477E-1,1.061733033E-1,-4.104160666E-2
2.138063250E0,-1.758570573E-1,4.213357419E-2,-6.289732933E-2
2.148124250E0,-1.128205642E-1,3.040552139E-2,-7.568343580E-2
2.158185250E0,-7.217569113E-2,-4.426751554E-2,-1.897871715E-1
2.168247250E0,-2.305761784E-2,3.905940056E-4,-1.648248231E-1
2.178308250E0,5.273837686E-2,-4.335154921E-2,-1.945994300E-1
2.188370250E0,7.603748471E-2,-8.308922678E-2,-2.422174001E-1
2.198431250E0,7.801530540E-2,-9.098413736E-2,-2.127842706E-1
2.208493250E0,7.396757036E-2,-1.072639552E-1,-1.681208986E-1
2.218554250E0,2.207090020E-2,-1.098025239E-1,-1.627946699E-1
2.228616250E0,2.425132692E-2,-1.177680396E-1,-1.601417881E-1
2.238677250E0,1.280072451E-2,-7.803884044E-2,-1.907291579E-1
2.248738250E0,-5.399874419E-2,-5.338654071E-2,-2.044069648E-1
2.258800250E0,-1.071467185E-1,-2.754082426E-2,-1.868898761E-1
2.268861667E0,-1.653984350E-1,6.633900046E-2,-1.612825799E-1
2.278923667E0,-2.221491712E-1,1.365495886E-1,-1.340579438E-1
2.288984667E0,-2.462464240E-1,1.733478709E-1,-1.192171258E-1
2.299046667E0,-2.864729288E-1,1.912687097E-1,-1.212338305E-1
2.309107667E0,-2.910925215E-1,1.870313787E-1,-1.257964128E-1
2.319169667E0,-2.988421288E-1,2.215384296E-1,-7.574132323E-2
2.329230667E0,-3.393551472E-1,2.133511582E-1,2.135695517E-2
2.339291667E0,-2.603806061E-1,2.279019544E-1,4.693209171E-2
2.349353667E0,-1.311249804E-1,1.781167138E-1,-4.748348415E-2
2.359414667E0,-1.108962455E-1,3.190562457E-2,-7.459409952E-2
2.369476667E0,-1.037626424E-1,-2.076784819E-3,-1.935194492E-2
2.379537667E0,-5.192269027E-2,1.863799989E-3,1.360647082E-2
2.389599667E0,8.760006130E-3,-9.198898137E-2,-1.334159195E-2
2.399660667E0,6.300608754E-2,-1.395419012E-1,-3.338643193E-2
2.409722667E0,9.966549844E-2,-1.413250096E-1,-1.005873120E-1
2.419783667E0,1.166715404E-1,-1.210071047E-1,-1.535420358E-1
2.429845667E0,1.133555844E-1,-7.498264700E-2,-1.014515305E-1
2.439906667E0,1.145054394E-1,-6.477077723E-2,-1.221752322E-1
2.449967667E0,9.877321333E-2,-6.039384395E-2,-2.418104339E-1
2.460029667E0,8.326785922E-2,-7.179503739E-2,-2.537674052E-1
2.470090667E0,5.242438138E-2,-8.072841346E-2,-2.400469136E-1
2.480152667E0,1.681220680E-2,4.291125387E-3,-2.410818708E-1
2.490213667E0,-4.221251160E-2,4.448883265E-2,-2.249926722E-1
2.500275667E0,-6.591186136E-2,1.830514714E-2,-1.958308536E-1
2.510336667E0,-1.404819873E-1,2.263471797E-2,-1.186049223E-1
2.520398667E0,-2.309512773E-1,4.426196069E-2,3.758590221E-3
2.530459667E0,-1.928531590E-1,-5.307079107E-2,-8.480567694E-2
2.540520667E0,-1.274011812E-1,-1.323966037E-1,-1.422399527E-1
2.550582667E0,-1.692499959E-1,4.208972007E-3,-7.685112476E-2
2.560643667E0,-2.036947739E-1,9.493130028E-2,-5.275182545E-2
2.570705667E0,-2.163580889E-1,-2.981349081E-3,2.285559654E-2
2.580766667E0,-1.687538597E-1,-2.386394888E-3,9.787654281E-2
2.590828667E0,-1.346034890E-1,-1.135152134E-1,4.159416854E-2
