"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.136951125E0,-4.257147217E0,1.240620117E0,8.209528198E0
1.147013125E0,-4.326153717E0,1.232087860E0,8.045469360E0
1.157074125E0,-4.410428467E0,1.278940430E0,8.034093018E0
1.167136125E0,-4.506678314E0,1.451830902E0,8.056995392E0
1.177197125E0,-4.637356567E0,1.605561218E0,8.051157532E0
1.187259125E0,-4.614304504E0,1.800455933E0,8.151598663E0
1.197320125E0,-4.755311279E0,2.115550690E0,8.273594971E0
1.207381125E0,-4.893623657E0,2.492766266E0,8.421936493E0
1.217443125E0,-5.210215302E0,2.335593109E0,8.463100891E0
1.227504125E0,-5.296286316E0,2.166444855E0,8.612639923E0
1.237566125E0,-5.168901215E0,2.313888245E0,8.652157745E0
1.247627125E0,-5.505551147E0,1.879341888E0,8.525521088E0
1.257689125E0,-5.340743866E0,1.614542542E0,8.204139404E0
1.267746250E0,-5.282365265E0,1.980531464E0,8.100854187E0
1.277808250E0,-4.932393036E0,2.583327942E0,8.236322479E0
1.287869250E0,-5.417234802E0,2.199975128E0,8.228239288E0
1.297931250E0,-5.807772675E0,1.384920044E0,8.452323303E0
1.307992250E0,-4.872816925E0,2.102078705E0,8.886121216E0
1.318054250E0,-4.862488403E0,2.319426727E0,8.553812256E0
1.328115250E0,-5.292993164E0,1.682950287E0,8.339308319E0
1.338177250E0,-5.180576935E0,1.700314178E0,8.360115051E0
1.348238250E0,-5.095553741E0,1.741179199E0,8.093818817E0
1.358300250E0,-5.107678528E0,1.908231812E0,8.077652435E0
1.368361250E0,-5.162165222E0,1.908231812E0,8.107889557E0
1.378422250E0,-5.256918182E0,1.830243988E0,8.204438782E0
1.388484250E0,-5.258714447E0,1.869462433E0,8.236023102E0
1.398545250E0,-5.202581177E0,1.813179474E0,8.237519989E0
1.408607250E0,-5.202730865E0,1.766177216E0,8.174950104E0
1.418668250E0,-5.256618805E0,1.761087799E0,8.214467926E0
1.428730250E0,-5.251080322E0,1.824555817E0,8.178692322E0
1.438791250E0,-5.198689270E0,1.863325195E0,8.115673370E0
1.448853250E0,-5.119653625E0,1.792073364E0,8.064629517E0
1.458914250E0,-5.050647125E0,1.729802856E0,8.061186676E0
1.468976250E0,-5.060077515E0,1.712588654E0,8.125103760E0
1.479037250E0,-5.066214752E0,1.742975464E0,8.204289093E0
1.489099250E0,-5.077890472E0,1.721270599E0,8.271199951E0
1.499160250E0,-5.115761719E0,1.663041687E0,8.361911316E0
1.509221250E0,-5.147645416E0,1.668879547E0,8.410260773E0
1.519283250E0,-5.117857361E0,1.761686554E0,8.351283417E0
1.529344250E0,-5.070855103E0,1.793270874E0,8.294401703E0
1.539406250E0,-5.041216736E0,1.801952820E0,8.258626099E0
1.549467250E0,-5.007237396E0,1.828148346E0,8.213420105E0
1.559529250E0,-5.001848602E0,1.849703522E0,8.204289093E0
1.569590250E0,-4.984335022E0,1.879192200E0,8.239166565E0
