"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.776964667E0,-3.110232239E0,1.425036621E0,9.281748505E0
2.787026667E0,-3.203638000E0,1.423988800E0,9.582622833E0
2.797087667E0,-3.327879639E0,1.587149506E0,9.807754669E0
2.807149667E0,-3.264561310E0,1.737137604E0,9.366622009E0
2.817210667E0,-3.285368042E0,1.866019592E0,8.875044250E0
2.827271667E0,-3.339705048E0,1.864822083E0,8.651858368E0
2.837333667E0,-3.273243256E0,1.906435547E0,8.543932800E0
2.847394667E0,-3.242257690E0,2.099384308E0,8.569529572E0
2.857456667E0,-3.354224854E0,1.927242279E0,8.674760742E0
2.867517667E0,-3.391946411E0,1.867516479E0,8.793463898E0
2.877579667E0,-3.366349640E0,1.724863129E0,8.792565765E0
2.887640667E0,-3.286266174E0,1.647024994E0,8.792565765E0
2.897702667E0,-3.282673645E0,1.617985382E0,8.932225342E0
2.907763667E0,-3.208727417E0,1.547032928E0,9.110504608E0
2.917824667E0,-3.291355591E0,1.735041962E0,9.158554688E0
2.927886667E0,-3.176544342E0,1.765877838E0,9.422156525E0
2.937947667E0,-3.136128387E0,1.430575104E0,9.411079559E0
2.948009667E0,-3.159928894E0,1.327589264E0,9.281898193E0
2.958070667E0,-2.887196045E0,1.479523315E0,9.154064026E0
2.968132667E0,-2.954555969E0,1.907782745E0,8.912616119E0
2.978193667E0,-3.015030212E0,2.185754700E0,8.997639313E0
2.988254667E0,-2.777324524E0,2.068847809E0,8.961714020E0
2.998316667E0,-2.779869232E0,2.242935791E0,9.007967834E0
3.008377667E0,-2.991229706E0,1.890867920E0,9.201665039E0
3.018439667E0,-3.072959747E0,1.579665070E0,9.317823486E0
3.028500667E0,-3.112926636E0,1.664089508E0,9.185049591E0
3.038562667E0,-3.134930878E0,1.684447174E0,9.101373596E0
3.048623667E0,-2.804867249E0,1.614841919E0,9.047785034E0
3.058685667E0,-2.620151367E0,2.109413452E0,8.941655731E0
3.068746667E0,-2.643203430E0,2.031425629E0,9.144783325E0
3.078807667E0,-2.838547211E0,1.898801422E0,9.180409241E0
3.088869667E0,-2.874173126E0,2.014660492E0,9.200317841E0
3.098930667E0,-2.715652771E0,1.782493286E0,9.218430176E0
3.108992667E0,-2.668051758E0,1.831591187E0,9.259744263E0
3.119053667E0,-2.603386230E0,1.696871338E0,9.371861115E0
3.129115667E0,-2.621199188E0,1.747765503E0,9.181457062E0
3.139176667E0,-2.595602417E0,1.847607880E0,9.149423676E0
3.149237667E0,-2.468666382E0,1.703757019E0,9.154962158E0
3.159299667E0,-2.414329376E0,1.748813324E0,9.260792084E0
3.169360667E0,-2.355052643E0,1.749112701E0,9.154812469E0
3.179422667E0,-2.344275055E0,1.753902740E0,9.019942932E0
3.189483667E0,-2.298021240E0,1.748064880E0,9.109307098E0
3.199545667E0,-2.235301666E0,1.765428772E0,9.189240875E0
3.209606667E0,-2.173929291E0,1.826501770E0,9.270821228E0
3.219668667E0,-2.155218201E0,1.901795197E0,9.204209747E0
3.229729667E0,-2.175276489E0,1.865869904E0,9.297914886E0
3.239790667E0,-2.127825165E0,1.792522430E0,9.454489288E0
3.249852667E0,-2.069446564E0,1.709594879E0,9.604028320E0
3.259913667E0,-1.989662476E0,1.514849854E0,9.513316956E0
3.269975292E0,-1.965263214E0,1.649120636E0,9.300160217E0
3.280036292E0,-1.930984497E0,1.713037720E0,9.298363953E0
3.290098292E0,-1.855092316E0,1.600022736E0,9.389973450E0
3.300159292E0,-1.735940094E0,1.813179474E0,9.259744263E0
3.310220292E0,-1.705702972E0,2.004182281E0,9.135053558E0
3.320282292E0,-1.984722748E0,1.854792938E0,8.890911255E0
3.330343292E0,-1.869163055E0,1.923050995E0,9.088051300E0
3.340405292E0,-1.840123444E0,2.092049561E0,9.113648071E0
3.350466292E0,-1.766027527E0,1.920356598E0,9.131011963E0
3.360528292E0,-1.729353790E0,2.020049286E0,9.096284180E0
3.370589292E0,-1.877695312E0,2.096839600E0,9.120683441E0
3.380650292E0,-1.942510529E0,1.973795471E0,9.221573639E0
3.390712292E0,-1.877395935E0,1.897005157E0,9.374106445E0
3.400773292E0,-1.746268616E0,2.076332245E0,9.357341309E0
3.410835292E0,-1.663939819E0,2.147284698E0,9.251810760E0
3.420896292E0,-1.583407288E0,2.167342987E0,9.010512543E0
3.430958292E0,-1.705852661E0,2.297721863E0,8.913364563E0
3.441019292E0,-1.742825775E0,2.090852051E0,9.139843597E0
3.451081292E0,-1.681004333E0,2.155667267E0,9.329648895E0
3.461142292E0,-1.668280792E0,2.301015015E0,9.341474304E0
3.471203292E0,-1.638043671E0,2.195334778E0,9.334738312E0
3.481265292E0,-1.723216553E0,2.330503693E0,9.214238892E0
3.491326292E0,-1.843566284E0,2.253414001E0,9.244326324E0
3.501388292E0,-1.781744843E0,2.201472015E0,9.308542786E0
3.511449292E0,-1.770518188E0,2.448608093E0,9.310039673E0
3.521511292E0,-1.789678345E0,2.377356262E0,9.253008270E0
3.531572292E0,-1.771566010E0,2.345771942E0,9.175170135E0
3.541633292E0,-1.745370483E0,2.349963226E0,9.116791534E0
3.551695292E0,-1.748064880E0,2.376009064E0,9.126820679E0
3.561756292E0,-1.771715698E0,2.440375214E0,9.167835388E0
3.571818292E0,-1.833537140E0,2.440375214E0,9.228459320E0
3.581879292E0,-1.908830566E0,2.468965759E0,9.216334534E0
3.591941292E0,-1.927541656E0,2.524649963E0,9.182055817E0
