"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.037448250E0,-5.206026509E-2,-1.602882147E-1,6.122606620E-2
2.047509250E0,-5.977278203E-2,-1.442695707E-1,4.966022447E-2
2.057571250E0,-4.431395978E-2,-1.368527263E-1,6.433136761E-2
2.067632250E0,-2.015616000E-2,-1.115305796E-1,7.440610230E-2
2.077694250E0,9.391339496E-3,-7.027141005E-2,8.737325668E-2
2.087755250E0,3.913538530E-2,-4.768913239E-2,1.002637520E-1
2.097817250E0,4.800253734E-2,-4.367641360E-2,1.061688513E-1
2.107878250E0,2.988425642E-2,-5.895283446E-2,9.956580400E-2
2.117940250E0,2.425771207E-2,-8.619459718E-2,8.750179410E-2
2.128001250E0,2.293705195E-2,-1.034766436E-1,8.270810544E-2
2.138063250E0,1.849932596E-2,-1.102521643E-1,6.120561808E-2
2.148124250E0,2.175104432E-2,-1.347588450E-1,6.641396135E-2
2.158185250E0,2.386771329E-2,-1.262287050E-1,4.711849242E-2
2.168247250E0,2.085780911E-2,-1.470959038E-1,4.146087170E-2
2.178308250E0,5.744831171E-3,-1.669437587E-1,2.096100897E-2
2.188370250E0,-1.598283462E-2,-1.790997535E-1,1.980925677E-3
2.198431250E0,-3.270264715E-2,-1.924348325E-1,-1.679969579E-2
2.208493250E0,-3.621855378E-2,-2.026821375E-1,-2.413537353E-2
2.218554250E0,-3.362511471E-2,-1.966942102E-1,-3.450362384E-2
2.228616250E0,-2.810970880E-2,-1.979504228E-1,-4.333386943E-2
2.238677250E0,-2.513634227E-2,-1.930904984E-1,-5.024500191E-2
2.248738250E0,-2.551877126E-2,-1.932689250E-1,-6.196876988E-2
2.258800250E0,-3.211836144E-2,-1.938587129E-1,-7.887741923E-2
2.268861667E0,-4.843448848E-2,-2.096826881E-1,-8.797451109E-2
2.278923667E0,-6.716263294E-2,-2.259455472E-1,-9.349870682E-2
2.288984667E0,-8.754966408E-2,-2.421708554E-1,-1.017244160E-1
2.299046667E0,-1.047580987E-1,-2.529910505E-1,-1.020148844E-1
2.309107667E0,-1.102396846E-1,-2.560465038E-1,-1.009802446E-1
2.319169667E0,-1.161399260E-1,-2.572631836E-1,-9.806006402E-2
2.329230667E0,-1.243206188E-1,-2.927346230E-1,-9.874183685E-2
2.339291667E0,-1.315367073E-1,-3.350445628E-1,-7.352589071E-2
2.349353667E0,-1.313524246E-1,-3.236579597E-1,-5.662547052E-2
2.359414667E0,-1.205128431E-1,-3.025712073E-1,-5.216864124E-2
2.369476667E0,-9.962167591E-2,-2.937330008E-1,-2.801883034E-2
2.379537667E0,-7.702304423E-2,-2.816946805E-1,-7.297737757E-4
2.389599667E0,-6.160068139E-2,-2.647692263E-1,1.190080028E-2
2.399660667E0,-5.057601258E-2,-2.564025223E-1,2.330431528E-2
2.409722667E0,-3.943414614E-2,-2.561236918E-1,2.921413630E-2
2.419783667E0,-3.751480579E-2,-2.313019931E-1,2.650224045E-2
2.429845667E0,-2.135314606E-2,-2.263873965E-1,3.379397467E-2
2.439906667E0,-1.823653234E-3,-2.122510672E-1,3.964680433E-2
2.449967667E0,6.347457413E-3,-1.678918600E-1,3.925132379E-2
2.460029667E0,1.945640519E-2,-1.559463888E-1,4.446144775E-2
2.470090667E0,2.358749881E-2,-1.461097449E-1,4.688332602E-2
2.480152667E0,2.133018151E-2,-1.272083372E-1,4.657395929E-2
2.490213667E0,2.558591217E-2,-1.255864650E-1,5.124541000E-2
2.500275667E0,4.969345778E-2,-1.204385608E-1,5.839668959E-2
2.510336667E0,8.638436347E-2,-1.072457880E-1,6.702506542E-2
2.520398667E0,1.337098181E-1,-1.163818091E-1,8.969049901E-2
2.530459667E0,1.523122638E-1,-8.259268105E-2,8.775863796E-2
2.540520667E0,1.760916263E-1,-4.314174503E-2,8.853992075E-2
2.550582667E0,2.042137980E-1,-3.520206362E-2,9.435013682E-2
2.560643667E0,2.298584878E-1,-2.606522292E-2,1.089439616E-1
2.570705667E0,2.493315190E-1,-1.733058877E-2,1.184711531E-1
2.580766667E0,2.651859522E-1,-3.336348012E-2,1.219113469E-1
2.590828667E0,2.635931373E-1,-1.862288639E-2,1.373323798E-1
2.600889667E0,2.363447994E-1,-5.878461897E-2,1.020459980E-1
2.610951667E0,1.875745952E-1,-9.443822503E-2,8.945137262E-2
2.621012667E0,1.647744030E-1,-7.052715123E-2,8.087741584E-2
2.631073667E0,1.556972712E-1,-8.156888187E-2,7.925954461E-2
2.641135667E0,1.439573318E-1,-8.970860392E-2,7.597553730E-2
2.651196667E0,1.275850087E-1,-1.040766239E-1,7.380399853E-2
2.661258667E0,1.003981829E-1,-1.065684855E-1,6.879375875E-2
2.671319667E0,7.634904236E-2,-1.032949239E-1,6.186102331E-2
2.681381667E0,6.727363914E-2,-8.683636039E-2,5.717899650E-2
2.691442667E0,5.862875655E-2,-7.307394594E-2,5.318345502E-2
2.701503667E0,3.771722317E-2,-6.499021500E-2,4.912116751E-2
2.711565667E0,-7.748446614E-2,1.923784986E-2,3.441306204E-2
2.721626667E0,-1.726424694E-1,-6.538750976E-2,2.109598368E-2
2.731688667E0,-8.959499002E-2,-8.349647373E-2,1.070086658E-2
2.741749667E0,1.225403510E-3,-5.745360255E-2,3.078917274E-3
2.751811667E0,4.083646461E-2,-7.059656829E-2,9.869711474E-3
2.761872667E0,5.302672088E-2,-8.386944979E-2,7.535359357E-3
2.771934667E0,8.775167912E-2,-8.969724923E-2,-3.506856039E-2
2.781995667E0,1.408335418E-1,-9.508812428E-2,-5.834620818E-2
2.792056667E0,2.420214117E-1,-1.152719557E-1,-3.122138046E-2
2.802118667E0,3.097144067E-1,-7.504098117E-2,-2.021609806E-2
2.812179667E0,3.012239635E-1,-8.391114883E-3,-2.975857817E-3
2.822241667E0,2.408907115E-1,2.395369671E-2,2.855558135E-2
2.832302667E0,1.275910586E-1,-4.925622605E-3,3.656770289E-2
2.842364667E0,9.703472257E-3,-9.639924765E-2,1.175356563E-2
2.852425667E0,-6.829545647E-2,-1.553376764E-1,5.828299094E-3
2.862487667E0,-7.650268078E-2,-1.702615321E-1,2.720743418E-3
2.872548667E0,-6.398396194E-2,-1.872823238E-1,-6.220564246E-4
2.882609667E0,-4.697741941E-2,-1.459690481E-1,1.820290834E-2
2.892671667E0,-4.839395359E-2,-1.228054166E-1,2.316118032E-2
2.902732667E0,-5.362692848E-2,-1.911569685E-1,-1.488035358E-2
2.912794667E0,-3.936836496E-2,-2.084661722E-1,-5.630663596E-3
2.922855667E0,3.655402735E-2,-1.870033443E-1,2.936761640E-2
2.932917667E0,8.226612210E-2,-1.739626527E-1,1.699563488E-2
2.942978667E0,1.134957522E-1,-1.576670110E-1,5.652616546E-2
2.953039667E0,1.061523482E-1,-2.053194940E-1,3.530716151E-2
2.963101667E0,9.346012026E-2,-1.755879372E-1,2.824355848E-2
2.973162667E0,1.230627522E-1,-1.469006240E-1,8.151769638E-2
2.983224667E0,1.274037659E-1,-1.859086305E-1,6.774374843E-2
2.993285667E0,6.877375394E-2,-2.038612664E-1,4.942680243E-3
3.003347667E0,2.087233402E-2,-2.161215991E-1,5.722946953E-3
3.013408667E0,2.688269597E-3,-3.026660681E-1,-4.521246883E-4
3.023470667E0,-4.171181843E-2,-4.085506201E-1,-8.038283326E-3
3.033531667E0,-2.355039120E-2,-4.328034818E-1,5.933409929E-2
3.043592667E0,5.222234502E-2,-4.057231545E-1,1.180658564E-1
3.053654667E0,3.784180433E-2,-3.794252276E-1,9.908284247E-2
3.063715667E0,-3.952808678E-2,-3.526580334E-1,5.754078925E-2
3.073777667E0,-7.173636556E-2,-3.475093246E-1,8.356679976E-2
3.083838667E0,-4.040674493E-2,-3.926054239E-1,8.666709065E-2
3.093900667E0,-3.948315978E-2,-4.278473258E-1,7.636331767E-2
3.103961667E0,-6.311923265E-2,-4.345077276E-1,7.692618668E-2
3.114022667E0,-1.000628695E-1,-4.896564782E-1,9.131976962E-2
3.124084667E0,-1.292207688E-1,-5.056240559E-1,9.739299119E-2
3.134145667E0,-1.038293988E-1,-4.948930740E-1,1.089276746E-1
3.144207667E0,-5.965760350E-2,-4.632572532E-1,9.752047062E-2
3.154268667E0,-4.275771603E-2,-4.442028701E-1,9.790449589E-2
3.164330667E0,-6.013922021E-2,-4.647170901E-1,1.217585132E-1
3.174391667E0,-5.853972584E-2,-4.111633301E-1,1.380163133E-1
3.184453667E0,-9.096082300E-3,-3.463434279E-1,1.403522491E-1
3.194514667E0,2.708242834E-2,-3.331280351E-1,1.394345313E-1
3.204575667E0,3.295204043E-2,-3.253527880E-1,1.463976055E-1
3.214637667E0,3.330038115E-2,-3.237844408E-1,1.619387418E-1
3.224698667E0,3.824993223E-2,-3.210379481E-1,1.680269390E-1
3.234760667E0,6.334356964E-2,-3.506666720E-1,1.817616671E-1
3.244821667E0,6.289702654E-2,-3.544350863E-1,1.576418877E-1
3.254883667E0,6.164879724E-2,-3.732282221E-1,1.553017646E-1
3.264944667E0,1.121960655E-1,-3.999373615E-1,1.800880730E-1
