"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.778517708E0,2.191173434E-1,-1.380527973E0,1.542505860E0
1.788588708E0,3.717522323E-1,-9.732024670E-1,7.702226043E-1
1.798659708E0,4.737507701E-1,-6.308389902E-1,8.438192308E-2
1.808699708E0,7.215810418E-1,-6.164531112E-1,-1.801663786E-1
1.818770708E0,1.244469404E0,-2.630734444E-1,3.090310097E-1
1.828841708E0,1.879864097E0,-3.042545617E-1,9.854419827E-1
1.838881708E0,2.327943563E0,-4.408073425E-1,1.525386572E0
1.848952708E0,2.649797678E0,-8.543409109E-1,2.022794724E0
1.858992708E0,1.549713016E0,-2.541344404E0,1.930983543E0
1.869063708E0,1.051554799E0,-2.803870916E0,1.790017962E0
1.879134708E0,3.463335037E-1,-3.240791559E0,1.612672925E0
1.889174708E0,-2.925829031E-2,-3.694452286E0,1.592449188E0
1.899245708E0,1.053559855E-1,-3.881499529E0,1.487070322E0
1.909316708E0,5.146423578E-1,-3.413322449E0,1.286045074E0
1.919356708E0,1.000841737E0,-2.484190941E0,1.098706007E0
1.929427708E0,1.247996807E0,-1.230922222E0,1.020052791E0
1.939498708E0,1.367235303E0,-1.200903356E-1,1.240585685E0
1.949538708E0,1.243262887E0,4.356137514E-1,1.512947798E0
1.959609708E0,1.024620056E0,1.102329969E0,1.847957253E0
1.969649708E0,6.791904569E-1,1.263581872E0,2.015840530E0
1.979720708E0,5.194937587E-1,1.054796696E0,2.176074028E0
1.989790708E0,6.673213840E-1,7.380612493E-1,2.537513018E0
1.999814833E0,8.753629923E-1,3.774199188E-1,3.021989107E0
2.009885833E0,1.621356368E0,6.916988492E-1,3.661756992E0
2.019955833E0,2.294489384E0,6.204901934E-1,4.518129826E0
2.029996833E0,2.705373764E0,2.859353274E-2,5.310219288E0
2.040066833E0,2.030422688E0,-1.057498336E0,5.146709919E0
2.050137833E0,1.388850093E0,-1.687378526E0,4.290514946E0
2.060178833E0,5.084120035E-1,-1.998070598E0,2.140798807E0
2.070248833E0,8.862653375E-2,-2.413087130E0,4.941445291E-1
2.080289833E0,7.170107961E-2,-2.518748283E0,-1.810956895E-1
2.090359833E0,2.820912749E-2,-1.953926802E0,-4.531293511E-1
2.100430833E0,-1.483020037E-1,-8.677930832E-1,-3.755006194E-1
2.110471833E0,-3.803454638E-1,3.981592953E-1,-2.565082312E-1
2.120541833E0,-6.267451048E-1,1.429977894E0,-2.119474113E-1
2.130612833E0,-7.614813447E-1,1.825166225E0,-1.906475276E-1
2.140652833E0,-7.069904208E-1,1.675930142E0,-1.976338029E-1
2.150723833E0,-5.245659351E-1,1.448127031E0,-2.157166749E-1
2.160794833E0,-3.479048610E-1,1.357714057E0,-2.516278028E-1
2.170834833E0,-1.921951175E-1,1.274712324E0,-2.548423707E-1
2.180905833E0,-2.150945812E-1,9.810229540E-1,1.984236538E-1
2.190945833E0,-4.520569742E-1,7.929950356E-1,1.020152807E0
2.201016833E0,-4.097771645E-1,1.248713613E0,1.345926881E0
2.211087833E0,-2.832820415E-1,1.858369231E0,1.333350301E0
2.221127833E0,-1.856593192E-1,2.228096247E0,1.121259332E0
2.231198833E0,-1.722619832E-1,1.999674082E0,7.724470496E-1
2.241269833E0,-1.476455629E-1,1.461100578E0,5.975516438E-1
2.251309833E0,-1.092537940E-1,1.292040110E0,6.699634790E-1
2.261380833E0,1.192598045E-1,1.514766932E0,8.636386395E-1
2.271451833E0,5.020765066E-1,1.915318727E0,1.190347552E0
2.281491833E0,7.634947896E-1,2.576024294E0,1.537623763E0
2.291562833E0,7.876474261E-1,3.212183952E0,1.837695479E0
2.301602833E0,5.084810257E-1,3.888876915E0,1.994416714E0
2.311673833E0,-3.583639115E-2,4.609301567E0,2.055568218E0
2.321744833E0,-5.600171089E-1,5.091706753E0,2.147647619E0
2.331784833E0,-9.625262618E-1,5.412759781E0,2.068578482E0
2.341855833E0,-1.438143969E0,5.934019089E0,1.977424860E0
2.351926833E0,-2.056087255E0,6.012373924E0,1.747730374E0
2.361966833E0,-2.164981842E0,4.845126629E0,1.488075376E0
2.372037833E0,-2.099779606E0,3.015822887E0,1.453854918E0
2.382107833E0,-1.948927402E0,1.474949956E0,1.260571003E0
2.392148833E0,-1.894313335E0,1.051291347E0,9.536496401E-1
2.402219833E0,-1.955078125E0,1.593064308E0,5.624262094E-1
2.412259833E0,-1.928368807E0,2.088615656E0,2.743539214E-1
2.422330833E0,-1.692699790E0,2.516311407E0,1.432742272E-2
2.432400833E0,-1.174580455E0,2.707478046E0,-9.887183458E-2
2.442441833E0,-4.668622613E-1,2.559760809E0,-1.119285077E-2
2.452512833E0,2.502137125E-1,2.205333710E0,1.615447104E-1
2.462582833E0,9.526914358E-1,2.122290134E0,3.382148445E-1
2.472623833E0,1.502801299E0,2.296959162E0,3.228472769E-1
2.482693833E0,1.909561396E0,2.659156799E0,2.910296917E-1
2.492764833E0,2.187220097E0,3.081163168E0,2.993164957E-1
2.502804833E0,2.258065701E0,3.154903173E0,4.559769630E-1
2.512875833E0,1.796876073E0,2.375403404E0,4.980804920E-1
2.522946833E0,1.092233419E0,1.049663067E0,2.843064070E-1
2.532986833E0,4.125452042E-2,-1.136163846E-1,-3.445402086E-1
2.543057833E0,-8.143174052E-1,-2.858518064E-1,-7.709021568E-1
2.553097833E0,-1.165401101E0,1.658804864E-1,-8.391796350E-1
2.563168833E0,-1.209840536E0,5.356007814E-1,-6.665362120E-1
2.573239833E0,-9.057539105E-1,7.780992985E-1,-3.632848561E-1
2.583279833E0,-4.502561688E-1,6.949080229E-1,4.639453441E-2
2.593350833E0,-1.406664103E-1,3.736562133E-1,3.757647276E-1
2.603421833E0,-1.492271423E-1,4.297069833E-2,4.611129165E-1
2.613461833E0,-4.456520081E-1,-1.635372452E-2,4.201143980E-1
2.623532833E0,-9.474844933E-1,2.404285222E-1,3.697010279E-1
