"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.826749833E0,1.578228058E1,-2.012654663E1,-1.031954041E1
2.836789833E0,1.337783066E1,-1.622940079E1,-1.559172684E1
2.846860833E0,8.325087891E0,-1.322230408E1,-1.820050186E1
2.856900833E0,3.390898590E0,-1.158994858E1,-1.429721878E1
2.866971833E0,2.075883179E0,-1.064032333E1,-8.986262970E0
2.877042833E0,7.676037598E-1,-1.003528152E1,-8.333021393E0
2.887082833E0,-2.796185303E-1,-8.712781677E0,-8.242010651E0
2.897153833E0,3.906875610E-2,-6.764283600E0,-7.045997772E0
2.907223833E0,6.173162842E-1,-4.095932465E0,-5.775739288E0
2.917264833E0,6.173162842E-1,-1.335073700E0,-3.295846252E0
2.927335833E0,6.331832886E-2,1.314266968E-1,-1.636995850E0
2.937405833E0,-8.243357849E-1,1.297651520E0,-3.300636292E-1
2.947446833E0,-1.829196167E0,2.044598236E0,8.451425171E-1
2.957516833E0,-2.494562531E0,1.923799438E0,1.651216278E0
2.967557833E0,-3.248544617E0,9.807604980E-1,1.127904510E0
2.977627833E0,-2.968776398E0,4.779560852E-1,9.376501465E-1
2.987698833E0,-1.814975739E0,-7.813751221E-2,8.875044250E-1
2.997739833E0,6.735992432E-3,-8.544232178E-1,2.224374390E-1
3.007801958E0,1.857786713E0,-1.432371368E0,-1.082698517E0
3.017872958E0,2.342179413E0,-1.145418091E0,-1.255139923E0
3.027912958E0,1.218017120E0,-5.926176453E-1,-6.267466736E-1
3.037983958E0,7.689509583E-1,5.183720398E-1,-1.305135956E0
3.048054958E0,1.127455444E0,2.342628479E0,-1.200503540E0
3.058094958E0,4.945715332E-1,1.951940918E0,-2.704875183E-1
3.068165958E0,-2.061662750E0,-1.330732727E0,5.863307190E-1
3.078205958E0,-5.004842377E0,-5.568719788E0,1.221010895E0
3.088276958E0,-6.340963898E0,-1.092069031E1,3.167413330E-1
3.098347958E0,-4.235741730E0,-1.561462921E1,-2.713407440E0
3.108387958E0,1.285826111E-1,-1.882515289E1,-6.442153473E0
3.118458958E0,1.811233521E0,-2.150203629E1,-6.768175507E0
3.128529958E0,-7.918533325E-2,-2.402713531E1,-4.757257233E0
3.138569958E0,3.716770935E-1,-2.574286743E1,-6.072272644E0
3.148640958E0,3.240162048E0,-2.671060501E1,-9.612111511E0
3.158711958E0,5.803431702E0,-2.562416428E1,-1.156031021E1
3.168751958E0,7.763006744E0,-2.490221558E1,-1.273132507E1
3.178822958E0,8.664881287E0,-2.382774994E1,-1.534024979E1
3.188862958E0,8.813971252E0,-2.268472687E1,-1.779005539E1
3.198933958E0,8.163873138E0,-2.045107178E1,-1.577225143E1
3.209004958E0,7.294780426E0,-1.741807892E1,-1.081141754E1
3.219044958E0,6.472689972E0,-1.505718842E1,-8.341853027E0
3.229115958E0,6.943311310E0,-1.360266312E1,-7.676486664E0
3.239186958E0,6.693480835E0,-1.344608871E1,-5.108726349E0
3.249226958E0,5.301226044E0,-1.148980682E1,-1.345252533E0
3.259297958E0,3.626508636E0,-8.941206665E0,1.433419189E0
3.269368958E0,2.292482758E0,-6.766828308E0,3.604654083E0
3.279408958E0,8.425978088E-1,-4.982389069E0,5.161267090E0
3.289479958E0,-1.442999268E0,-2.492616577E0,5.455405426E0
3.299519958E0,-5.232518921E0,6.801855469E-1,4.355642395E0
3.309590958E0,-8.602610779E0,3.914809113E0,2.781366119E0
3.319661958E0,-7.230863342E0,5.393883362E0,3.124003601E0
3.329701958E0,-3.101101227E0,4.167034607E0,3.599714355E0
3.339772958E0,-1.570234680E-1,1.456022186E0,3.524420929E0
3.349842958E0,2.776725769E-1,-7.039860535E-1,2.877765656E0
3.359883958E0,-7.364685059E-2,-1.999092865E0,1.893861694E0
3.369953958E0,3.802093506E-2,-1.448986816E0,5.236111450E-1
3.380024958E0,-1.639091492E-1,1.667532349E-1,-2.104623413E-1
3.390065958E0,-3.849993896E-1,2.210902405E-1,-8.487350464E-2
3.400135958E0,-1.038989410E0,-1.002914429E0,-3.245251465E-1
3.410176958E0,-1.803449707E0,-2.108814697E0,-1.054557037E0
3.420246958E0,-3.912863159E-1,-2.230511627E0,-2.509681091E0
3.430317958E0,1.820214844E-1,-1.883383484E0,-4.561314697E0
3.440358958E0,-1.085093536E0,-3.397035828E0,-5.186564484E0
3.450428958E0,-3.795806580E0,-6.913822632E0,-3.056344299E0
3.460499958E0,-5.980962524E0,-1.114163086E1,5.270539856E-1
3.470539958E0,-7.192093964E0,-1.619886429E1,2.991678772E0
3.480610958E0,-6.994654541E0,-2.086002136E1,3.285218353E0
3.490681958E0,-4.143383789E0,-2.367686371E1,1.437909851E0
3.500721958E0,1.574725342E-1,-2.507839920E1,-5.545967102E-1
3.510792958E0,2.935844879E0,-2.625914383E1,-1.801204376E0
3.520832958E0,5.372477875E0,-2.713811600E1,-1.897154846E0
3.530903958E0,7.833061066E0,-2.789254715E1,-1.340761871E0
3.540974958E0,9.265282745E0,-2.735321869E1,-1.661993866E0
3.551014958E0,8.215964813E0,-2.490251495E1,-1.911974030E0
3.561085958E0,5.814658356E0,-2.161355438E1,-1.714384918E0
3.571156958E0,3.760480042E0,-1.893622192E1,-1.886526947E0
3.581196958E0,2.422562256E0,-1.788540710E1,-2.742297363E0
3.591267958E0,2.354753265E0,-1.634615799E1,-4.468956757E0
3.601338958E0,1.714833984E0,-1.310404999E1,-6.508764954E0
3.611378958E0,8.244854736E-1,-1.071935898E1,-6.968009949E0
3.621449958E0,1.824705505E-1,-8.974437561E0,-5.606291656E0
3.631489958E0,-2.323168945E-1,-6.023623810E0,-4.501139832E0
3.641560958E0,3.085084534E-1,-2.303110657E0,-4.037853241E0
3.651631958E0,5.686674500E-1,1.717079315E0,-3.128943329E0
3.661671958E0,-7.990383911E-1,4.133204956E0,-1.548230438E0
3.671742958E0,-2.351909180E0,3.869303741E0,2.462379456E-1
3.681813958E0,-2.664459229E0,2.471809845E0,1.757794647E0
3.691853958E0,-1.631457367E0,1.263073425E0,2.018253021E0
3.701924958E0,-6.735992432E-3,-5.474116516E-1,6.132746887E-1
3.711994958E0,4.592449951E-1,-1.832040253E0,-8.629554749E-1
3.722035958E0,2.278262329E-1,-1.864223328E0,-6.710545349E-1
3.732106958E0,4.834945679E-1,-1.405277710E0,3.457809448E-2
3.742146958E0,1.293310547E0,-1.245709534E0,3.637435913E-2
3.752217958E0,1.175056458E0,-8.286767578E-1,-5.174739075E-1
3.762287958E0,7.244934082E-1,7.014413452E-1,-7.786807251E-1
3.772328958E0,8.244854736E-1,2.684816895E0,-7.444020081E-1
3.782399958E0,3.727249146E-1,3.688779144E0,3.924838257E-1
3.792469958E0,-9.821076965E-1,1.987417145E0,1.183139648E0
3.802510958E0,-1.720971222E0,-2.498005371E0,-1.583706665E-1
3.812580958E0,-1.725761261E0,-8.353379059E0,-1.947450256E0
3.822651958E0,-2.425406342E0,-1.350356918E1,-2.647993469E0
3.832692958E0,-4.260140991E0,-1.665167267E1,-2.546055450E0
3.842762958E0,-5.737269287E0,-1.743140121E1,-2.215542755E0
3.852803958E0,-6.386319580E0,-1.898292480E1,-2.231260071E0
3.862873958E0,-6.150559845E0,-2.060839462E1,-4.199666748E0
3.872944958E0,-3.815116425E0,-2.137120834E1,-6.598129120E0
3.882984958E0,-5.206173706E-1,-2.363629807E1,-9.660610657E0
3.893055958E0,3.356619873E0,-2.589105927E1,-1.131916168E1
3.903126958E0,6.566544800E0,-2.740501099E1,-1.200593353E1
3.913166958E0,7.356751556E0,-2.780168610E1,-1.223540634E1
3.923237958E0,7.864795074E0,-2.637365570E1,-1.076471466E1
3.933308958E0,8.279732208E0,-2.410197968E1,-8.355474701E0
3.943348958E0,7.802374878E0,-2.174528046E1,-6.093229065E0
3.953419958E0,6.310726776E0,-1.947614914E1,-3.993844757E0
3.963459958E0,4.525389404E0,-1.646770523E1,-1.238075409E0
3.973530958E0,2.246228943E0,-1.247161514E1,1.466650085E0
3.983601958E0,-1.329235840E-1,-8.686436462E0,2.007774811E0
3.993641958E0,-2.681523743E0,-4.785997467E0,1.669627991E0
4.003727708E0,-4.384981384E0,-1.239422607E-1,5.605842590E-1
4.013798708E0,-4.365970917E0,3.203488312E0,7.964936829E-1
4.023838708E0,-5.109774170E0,3.919748840E0,1.301244049E0
4.033909708E0,-5.345234528E0,3.696862335E0,8.833131409E-1
4.043980708E0,-3.333418121E0,1.617536316E0,-4.239184570E-1
4.054020708E0,-1.053060150E0,7.484436035E-2,1.232836304E0
4.064091708E0,4.273612976E-1,-1.414708099E0,3.507356415E0
