"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.502804833E0,-3.089513215E0,-5.065388541E0,-1.216678810E1
2.512875833E0,-1.922920017E0,-5.015255098E0,-1.084826436E1
2.522946833E0,-1.582529621E0,-4.303355423E0,-9.114473698E0
2.532986833E0,-3.516052979E0,-2.801748928E0,-5.990751933E0
2.543057833E0,-3.683069338E0,-1.507373604E0,-4.345346618E0
2.553097833E0,-1.051490757E0,-2.530335796E-1,-5.091550738E0
2.563168833E0,-1.429850049E0,1.907412032E0,-2.608393786E0
2.573239833E0,-1.765735458E0,5.082810904E0,1.388362885E-1
2.583279833E0,-1.972863717E0,6.949806397E0,2.522585896E0
2.593350833E0,-2.307706568E0,8.157255260E0,5.050502114E0
2.603421833E0,-2.870501367E0,9.350700626E0,6.317413652E0
2.613461833E0,-2.780970263E0,9.772629275E0,6.056588073E0
2.623532833E0,-2.340760878E0,9.589669313E0,5.337885747E0
2.633603833E0,-2.220687428E0,9.029286783E0,4.948543046E0
2.643643833E0,-2.367294666E0,8.358344514E0,4.955503571E0
2.653714833E0,-2.112908918E0,8.215281858E0,2.262044492E0
2.663754833E0,-2.793286253E0,7.394087198E0,-2.617283893E-1
2.673825833E0,-3.744328862E0,5.306106130E0,-1.297778989E0
2.683896833E0,-4.271712631E0,4.623478786E0,-1.517548928E0
2.693936833E0,-4.075766587E0,5.268224359E0,-2.297009672E0
2.704007833E0,-5.224033442E0,5.633033313E0,-2.565155965E0
2.714078833E0,-6.078598162E0,3.822103263E0,-1.070632203E0
2.724118833E0,-7.500293684E0,-1.328308471E0,1.629139531E-1
2.734189833E0,-8.602261115E0,-5.895913603E0,-1.716859460E-1
2.744260833E0,-8.023221874E0,-9.466832761E0,-9.397832108E-1
2.754300833E0,-5.375875107E0,-1.176444820E1,-6.097651899E-1
2.764371833E0,-1.771882052E0,-1.241331022E1,9.127281439E-1
2.774411833E0,1.515561167E0,-1.219755731E1,2.107300268E0
2.784482833E0,3.774460149E0,-1.248993681E1,1.008700833E0
2.794553833E0,5.789824061E0,-1.267633669E1,-1.698061831E0
2.804593833E0,7.710654284E0,-1.244288894E1,-3.368766879E0
2.814664833E0,1.040087634E1,-1.208647308E1,-4.588161603E0
2.824734833E0,1.315574288E1,-1.131098260E1,-7.432119827E0
2.834775833E0,1.171354702E1,-7.884759808E0,-1.227907335E1
2.844846833E0,6.747652949E0,-4.463107202E0,-1.571919146E1
2.854916833E0,1.278876695E0,-2.925396490E0,-1.284669298E1
2.864957833E0,-5.750634268E-1,-1.806067505E0,-6.818689603E0
2.875027833E0,-1.926348825E0,-1.290183456E0,-5.268129634E0
2.885068833E0,-3.042464764E0,-2.413239455E-1,-5.349886572E0
2.895138833E0,-3.118014883E0,1.661164731E0,-4.149942026E0
2.905209833E0,-2.424315836E0,4.080516281E0,-3.007880237E0
2.915250833E0,-2.371143303E0,7.012937030E0,-6.489964986E-1
2.925320833E0,-2.805942844E0,8.681386807E0,1.245582064E0
2.935391833E0,-3.644166351E0,9.855441052E0,2.572916390E0
2.945431833E0,-4.673619245E0,1.074657894E1,3.727719262E0
2.955502833E0,-5.435233701E0,1.081753724E1,4.723494240E0
2.965573833E0,-6.257162772E0,9.953847352E0,4.314833508E0
2.975613833E0,-6.300436846E0,9.317883713E0,3.936637938E0
2.985684833E0,-5.340550908E0,8.849857369E0,3.878970358E0
2.995724833E0,-3.706548540E0,8.065621204E0,3.347728597E0
3.005787958E0,-1.829268672E0,7.379100199E0,1.993286580E0
3.015858958E0,-1.015057341E0,7.504044088E0,1.481165214E0
